Symbol,total_return,avg_return,volatility,sharpe_ratio
MMM,-0.4165127284581973,-0.10214485153444941,0.27138253916355526,-0.3763869696601569
AOS,0.001233966542177928,0.0002466715846720646,0.30087667420677505,0.0008198428320253952
ABT,1.0011272197353287,0.14882780936119033,0.26787106293979424,0.5555949482854008
ABBV,1.0441129866826315,0.15372148285549647,0.2862196489171739,0.5370752267954194
ACN,0.8440338724042148,0.1301960336560517,0.28508101829275423,0.4566983604722196
ATVI,0.2198863282329265,0.040552202480043986,0.3471405997103557,0.11681780383475628
ADM,1.6282249382628067,0.21320029256183837,0.27405950880156904,0.7779343015469119
ADBE,0.8938098174380742,0.1362326709549886,0.37448429827013024,0.36378740466367593
ADP,1.2200533246349887,0.17293158497433114,0.2827257951423139,0.6116583203428031
AAP,0.4255228102322739,0.07348216697826726,0.34399946614656685,0.21361128202146373
AES,2.0346697687196134,0.24859700153897268,0.36247835319152244,0.68582578614735
AFL,0.8106779519275461,0.1260774006654577,0.3152687579964875,0.39990451786809256
A,1.2839160223588268,0.17960342875515267,0.294448171046387,0.6099661890134755
APD,1.041820157636169,0.15346254670041515,0.28072881889936047,0.5466576153530947
AKAM,0.28584512188877564,0.05156889732980785,0.3003514573619009,0.17169517931678024
ALK,-0.39977541560750085,-0.09705196771764635,0.4706104373150377,-0.20622570181688826
ALB,0.7492455128321898,0.11833045936968856,0.4739339749592914,0.24967709770090352
ARE,0.24919006235724928,0.04550401300406004,0.2729086659295721,0.16673714940148873
ALGN,-0.06108094345539097,-0.012526088263460133,0.5384927819178832,-0.023261385637979238
ALLE,0.37569172770542336,0.06586996671848855,0.30183502351262487,0.21823168813188906
LNT,0.4664103389995541,0.07957073401900083,0.24227157972616073,0.3284361050889235
ALL,0.4620305133906354,0.07892507699716522,0.27796858558291393,0.2839352397741472
GOOGL,0.6442262755550703,0.10456764274946684,0.3138406540241103,0.33318705339376964
GOOG,0.666291142853213,0.1075164286450736,0.3134155617822691,0.3430475118519024
MO,-0.1467344972252818,-0.03123857463056201,0.26741430661988685,-0.11681714050911174
AMZN,0.4129401655173263,0.07158038211078699,0.35788558029674034,0.20000912596544462
AMCR,0.2200406656124309,0.04057853083044205,0.2966271333099278,0.13679979433319067
AMD,4.898907044022929,0.42611422061891147,0.5679404474618618,0.7502797564836686
AEE,0.6968233231127737,0.11154570524503682,0.2532367497576049,0.44047992778223144
AAL,-0.7537153511788859,-0.24440779566355209,0.6180580217855282,-0.3954447431286052
AEP,0.5151066479087504,0.08664738884732448,0.23595047679200745,0.3672270131655846
AXP,0.5869484982001477,0.09676243357358971,0.3751420657826253,0.25793543939606695
AIG,0.196047039070612,0.036453093344511966,0.4023192619748549,0.09060737774665707
AMT,0.6225740488317477,0.10164306571666959,0.28676592128020434,0.35444611152854616
AWK,0.8398968743846824,0.12968847028786468,0.26696865075037585,0.4857816448610946
AMP,1.024868863432808,0.15154093385111245,0.4059763209742895,0.37327530208519116
ABC,0.8943826520137115,0.13630139956948928,0.3007713708668999,0.4531727842867286
AME,0.9740589055664223,0.14570292421768127,0.2819450674164333,0.516777702666732
AMGN,0.6408807176703892,0.10411777689194102,0.25842228181971927,0.40289783125038625
APH,0.8109864417664474,0.12611576858882367,0.27825385828539756,0.4532399635568399
ADI,0.9473860645360677,0.1425899810559137,0.35117081981160586,0.4060416555464647
ANSS,0.6263210459424616,0.10215139945891316,0.3507606035315825,0.2912282577644597
AON,1.3804901709961304,0.1894146366623395,0.26758967069918704,0.7078548143036185
APA,0.1472589556345799,0.027856037709338644,0.7150566052296489,0.03895640919279719
AAPL,2.145237772697064,0.25756573771609426,0.3347283700955435,0.7694768675943893
AMAT,0.9324171309676127,0.14082801049625226,0.4656215946792474,0.3024516304774576
APTV,0.10660739732383216,0.020466409744661185,0.46482400138977853,0.04403044955395722
ACGL,1.1329558554189947,0.16358033650706227,0.3245104492043565,0.5040834182940271
ANET,1.1010258254824619,0.16007556212134966,0.4367398136857382,0.36652385952734345
AJG,2.27357475066333,0.2676648621031432,0.2560056151850408,1.045542934320699
AIZ,0.37620030227627366,0.06594876260113458,0.2997592885154477,0.22000573502741017
T,-0.06307157544448844,-0.012945158742816543,0.2561808615997121,-0.05053132643079178
ATO,0.4544101952208714,0.0777980215372871,0.25162686402301915,0.30918011015775343
ADSK,0.7444920680152813,0.11772200163459434,0.41353288149472195,0.28467386005457673
AZO,2.3483313943741817,0.273402467218151,0.29239299178692185,0.935051368869299
AVB,0.04307958213258614,0.008471173897561801,0.2897479797595614,0.029236351896539014
AVY,0.686195610509809,0.11014981497598209,0.31946729353085257,0.3447921499524156
BKR,0.048638665716434944,0.009543817345333494,0.4600588725843297,0.020744774014947606
BALL,0.3238415215022817,0.05771143524589584,0.30929428395743896,0.18659069449158436
BAC,0.21337246255853592,0.039438567415727155,0.35483274109354074,0.11114692317902646
BBWI,0.0378788868145035,0.007463534071141753,0.6223944829870887,0.011991645612476584
BAX,-0.20269830474006606,-0.04429350497859352,0.26726567476960345,-0.16572837127991377
BDX,0.2622692285290726,0.047684211131525434,0.2510317426263505,0.18995291445074836
WRB,1.6353557714152727,0.21385790410694172,0.2823917497771669,0.7573093203880612
BRK.B,0.5662711286103453,0.0938893359170847,0.23221477301495255,0.40432111488031414
BBY,0.2892299791249244,0.052121945052938656,0.401871660508458,0.12969798613565503
BIO,0.7417363657674987,0.11736865441748812,0.33604337963741904,0.34926637907321806
TECH,1.7453352569365492,0.2238243149316812,0.33532043553798113,0.6674938095335052
