Ticker,Average Return,Volatility,Sharpe Ratio
NA,2.902076669001259,1.4463305843321366,1.9753967038735851
OGN,0.2952025711155274,0.36818800152338943,0.67955112627328
VTRS,0.2558266188978762,0.38616411045065663,0.5459508359071481
DXC,0.2611865936724314,0.5480682725033948,0.3944519406039734
AIG,0.2917999698562238,0.6427413412267678,0.3839802328338943
CCO,0.28161801606168546,0.6538605465190741,0.3618784117215168
NCLH,0.2178141467036508,0.588285539080966,0.29375895755252673
AKAM,0.22743314601633183,0.6307897911093496,0.289213853153033
C,0.18325891915190462,0.484178320002546,0.2855537173807733
AAL,0.23242511553443793,0.6632102521281356,0.2826028622642981
WRK,0.14276233152681272,0.38610871008989933,0.2531989799040024
DISH,0.1603187546031678,0.4640933424195568,0.24848181187420604
MG,0.15051425386023368,0.4704667320661774,0.22427569617269283
UAL,0.19087607067573542,0.6622300685917107,0.2202800470627277
CCL,0.1454301832198239,0.47714842426514065,0.2104799641212209
FOX,0.1148113732099606,0.3483634166837336,0.2003981183630995
LNC,0.1562699579433021,0.559687973406174,0.19880712688202037
JNPR,0.14611330015883975,0.5267169113115721,0.1919689647083072
HBAN,0.13700943007054972,0.5080880131708061,0.181089550797213
EQIX,0.1562365226699178,0.6249466749091791,0.1779936227136233
LVS,0.1452132182805567,0.6021497314710855,0.1664257460278695
F,0.11645294450743278,0.42957737988067973,0.1663331168118761
BKR,0.11698471376764767,0.44487157469618704,0.16181009950300304
AES,0.13247674825629857,0.5408162691457197,0.1617494762028479
CVE,0.13086462535544943,0.5374938181245704,0.15974997750680978
ZION,0.11788543997809338,0.4592999146893436,0.15868811999974103
FFIV,0.13594071499039728,0.5753508600894935,0.15806131753457675
KEY,0.11701927499773987,0.46923327067040116,0.1534828826072899
FITB,0.11998943736223307,0.4908731335239984,0.1527674509783838
PARA,0.11254872739884736,0.45994648803120786,0.14686214408982315
MU,0.12752274554608659,0.56482140179752,0.14610414067785227
ON,0.13071498482340585,0.6127867950282725,0.13987733665091653
FOXA,0.09518329691210209,0.3596888785962209,0.13951862261617712
NWL,0.0950862570840506,0.37260701059096196,0.13442113449398824
INCY,0.13239462475966007,0.6534231272865781,0.13374890038339668
PCG,0.11535889513426982,0.5284782880590203,0.13313488316176986
WMB,0.12700780165949507,0.6238174131756249,0.13146122555640685
KHC,0.08230699694164488,0.2972146240529314,0.12552207705298116
SWKS,0.12094332979094585,0.6074185441717668,0.1250263603566744
HWM,0.09909370984949382,0.43438317587855474,0.12452993774468235
RF,0.10377015822194881,0.4978827055598227,0.11804016802685934
HIG,0.10896537443645721,0.5523669631530036,0.11580231748715036
RCL,0.10657011895301946,0.5346371063226412,0.11516244986531728
GLW,0.0945811362695865,0.4889185213086369,0.10140981392334633
DAL,0.09843380074050027,0.5325997141183426,0.10032637893723576
BKNG,0.10418921505156085,0.6320768289036219,0.09364243766731391
ABX.TRT,0.08179773349980729,0.4148807531740551,0.08869472304580378
PTC,0.09019591518353588,0.5314956082436653,0.08503535021274479
IVZ,0.0816466293954122,0.4534985050565907,0.08080871047378466
MGM,0.08858515045137948,0.5453498564672452,0.07992144846928605
NTAP,0.0888783635331642,0.5588678801421467,0.07851294571089654
GE,0.0698086586790936,0.33509342487011007,0.07403505063911656
BAC,0.07820824667666068,0.4514868378426788,0.0735530781702038
APA,0.08270804796198063,0.5225471962842624,0.072161994610469
TER,0.0815199172704565,0.506882694627726,0.07204806488270057
HAL,0.08033087664457848,0.4916870225520146,0.07185643513875924
AMD,0.0889471852393768,0.6300505630013932,0.06975183869374563
CMA,0.0706347812223344,0.4144090843965099,0.061858637244078446
VRSN,0.07627302194432764,0.531890193143747,0.05879601155924282
TECK-B.TRT,0.07690247886642854,0.5571424806315629,0.05726089820016
COF,0.07047038330963416,0.48394919103363204,0.05263028388421069
IPG,0.0661120888769183,0.4077070316766583,0.05178249879600248
MOS,0.06808349829851447,0.49660857841622985,0.04648227860286207
MS,0.06471776255870766,0.46578746068906535,0.04233210256355566
INTC,0.05961297434856758,0.3798551385065713,0.03846986092124374
ILMN,0.06594175280099912,0.5825015347311265,0.03595141223218494
MSI,0.05890501614412101,0.41947595275185073,0.033148541776712524
STT,0.06104723255657247,0.49884722896284645,0.03216863124595536
PWR,0.06499099558116561,0.6603355447418846,0.030273995910639336
KMI,0.05263382788511045,0.30543766137464734,0.024993079932428053
GNRC,0.06266242178920543,0.730062579428649,0.024193024388440978
ETSY,0.0588769078415138,0.6163243248566208,0.02251559330348039
ALGN,0.05862397175538281,0.616185055642015,0.022110195030919298
TXT,0.053982344984424654,0.4241555938371767,0.021177004653327208
FCX,0.054691368174544376,0.5267444011178728,0.01839861639530874
ENPH,0.059823557484479616,0.8325106065553757,0.017805848199116736
QRVO,0.052031362812466356,0.4339493921613915,0.01620318622281029
SCHW,0.04913766692618406,0.42929898947084977,0.009638193957279325
IP,0.04812678369821768,0.3558301652392723,0.008787292376168062
WBD,0.0483308114095214,0.3926310909061645,0.008483310381340724
WDC,0.04981665776373797,0.5791094104584595,0.008317353641214015
FSLR,0.049479246029649565,0.593521363940673,0.0075468994071413095
BK,0.0449147296777153,0.37044651847557497,-0.00023018254466418894
DVN,0.044187487051511,0.45348209120322064,-0.0017917200353671353
SLB,0.04320094906976142,0.39526639997868857,-0.004551489654409218
BBY,0.04047129566903365,0.480955823819249,-0.009416050511675073
DD,0.04204310156484006,0.30571067431469173,-0.009672211942839033
CSCO,0.04122440435935338,0.3738587265771773,-0.010098990266226154
MRO,0.040186023497509715,0.46845205596199946,-0.010276348328975612
