Symbol,Average Return,Average Volatility,Sharpe Ratio,Price,Forward PE,Dividend Yield,Beta,Target Price,low_risk,high_return
TDY,0.22046504443164666,0.2670372832616174,0.7086538708230141,433.5799865722656,32.8221,0.0,1.058216,484.0,0.0,0.3638783517047351
CMG,0.23185870881068263,0.3493084542268237,0.5743653392544663,1692.969970703125,52.576706,0.0,1.290714,1808.57,0.0,0.3636777882178907
APH,0.19242705518423942,0.2350453858695874,0.6858208026233678,81.62000274658203,32.51793,0.0114,1.240235,84.32,0.039106517056372345,0.3635516411130326
NOC,0.23724543490872185,0.23882054215009,0.8626452023754624,440.6400146484375,17.28,0.012999999,0.586219,520.79,0.09285637999687762,0.3613477320035275
DPZ,0.25402500693773167,0.2858620018978787,0.7793864363375018,359.6199951171875,24.02271,0.013300001,0.687546,373.68,0.06766958032651287,0.35996984610755456
HD,0.20967302631381302,0.23826860184760698,0.7489236304567898,331.5,23.952312,0.026199998,0.960206,351.03,0.11451701689519711,0.3589917638818447
LMT,0.21904505749913966,0.22106551454820536,0.8495988978142704,459.0799865722656,16.45448,0.025899999,0.671333,456.35,0.17451821086722488,0.3587303527953854
V,0.2138624046690069,0.25211695474289414,0.7244033423337809,230.1300048828125,32.596317,0.0077,1.0,248.98,0.030541381113588208,0.3579475333057076
LNC,0.1392913404166501,0.44083361483536193,0.24513398431008637,35.27000045776367,3.2687674,0.0344,1.776713,57.0,0.04392041744222816,0.35752890982476404
AON,0.20778854482800055,0.22365682102258613,0.7894259787226907,313.6400146484375,25.29355,0.008,0.878039,303.08,0.04073746804697632,0.3574905223539756
MMC,0.1944586333324524,0.19889428073137455,0.8206902317049068,171.8800048828125,28.17705,0.0153,0.888725,173.93,0.08655690890966813,0.35733783813235376
EFX,0.1819843071277014,0.2738700516859012,0.5504664208643099,225.99000549316406,26.967781,0.0094,1.486735,184.94,0.023086055975837228,0.3571751949363688
FCX,0.18044031796143895,0.5376885608885147,0.2775068856228412,43.15999984741211,13.078788,0.018,1.945836,36.38,0.017204239270487292,0.3555970729422484
ETN,0.2332086615710001,0.34724895598173483,0.5816594063061327,163.24000549316406,24.960245,0.0222,1.14112,159.16,0.056024850795704115,0.35506095390883574
EW,0.2260766642836475,0.32135682911283986,0.6063310520810167,82.12000274658203,32.587303,0.0,1.141857,111.62,0.0,0.35462760225299783
PGR,0.23215647822315094,0.21729409090491458,0.9246843178852715,136.30999755859375,22.832497,0.0032,0.443994,122.69,0.03316843349582476,0.354173947614868
CTVA,0.28477222723658097,0.3722356556598969,0.6811389059246883,61.5,34.550564,0.0091,0.696382,69.6,0.03510555831463679,0.3540407123204415
PTC,0.22331722827009418,0.32114095055521474,0.5981460413060211,130.5500030517578,34.175396,0.0,1.148857,142.15,0.0,0.35202568574792104
OKE,0.1987923755033881,0.42834161111750846,0.39119322325931993,68.55999755859375,20.344213,0.064,1.641488,67.0,0.09102317830702517,0.35161443785177077
GNRC,0.21449105705051516,0.4133855020835367,0.4433223132707776,122.44000244140625,11.060525,0.0,1.375829,192.9,0.0,0.3515752154813789
NSC,0.1881892593751398,0.27616895060450364,0.5683521592030134,252.1199951171875,19.05669,0.0223,1.328297,241.84,0.060790374878033744,0.35108976354583676
TYL,0.22566237362349054,0.2933928356488052,0.6627098892830191,332.57000732421875,48.1288,0.0,1.0,447.84,0.0,0.34952868070032994
IQV,0.21704193204322572,0.28018866743716797,0.6631741881232741,237.17999267578125,24.079185,0.0,1.0,257.53,0.0,0.34946173260524205
STE,0.21836024803097132,0.24578600568891726,0.7613623383976473,219.02999877929688,31.289999,0.0109,0.815033,237.5,0.05441193277017262,0.34934771037164725
DFS,0.19640258573036953,0.3626512516790543,0.4554638787854202,119.0,10.162254,0.0235,1.397199,115.82,0.04637889694777827,0.34869464182724874
EA,0.2413726697443127,0.3175427936655444,0.6617836522891153,113.91999816894531,18.553745,0.006,0.844509,149.94,0.022374055284746636,0.34827346025135514
NKE,0.20928155416630576,0.28186997312715484,0.6316867036126048,127.61000061035156,32.388325,0.013300001,1.109432,110.52,0.04253066479529075,0.3480963824315846
TMUS,0.26297422177326885,0.2881961250000809,0.804126640422261,145.19000244140625,43.21131,0.0,0.507737,173.73,0.0,0.3477145568552007
ACN,0.1848014274019743,0.24132053708568307,0.6363875584828773,289.2200012207031,30.833689,0.0161,1.213706,307.18,0.05496903260438979,0.347535237062414
HPQ,0.22708916824295755,0.34740362332951913,0.563785507967888,30.510000228881836,9.0,0.0367,0.990051,30.24,0.10670239161791541,0.3475290079372786
AVY,0.2091457039725632,0.2666771558719777,0.6671649973038387,181.1999969482422,19.89023,0.0178,0.989683,197.55,0.06744318587271622,0.3470293393458318
PWR,0.22376873145464646,0.3235574033890692,0.5950742880356275,152.42999267578125,31.299793,0.002,1.095431,151.67,0.005642786610805711,0.346832141950821
FRC,0.20533232584796193,0.29373355066320855,0.5927286326693679,144.5,18.741894,0.0093,1.142962,140.86,0.02770113742369255,0.34617936953232303
MRO,0.12809352606589258,0.523625509423048,0.1849900058887183,26.030000686645508,72.30556,0.0106,2.414517,32.21,0.008384068189656993,0.3452625032262235
IEX,0.19231834656913843,0.2241700189250251,0.7186077217077639,229.83999633789062,33.406975,0.0109,0.98784,228.8,0.04922235198045079,0.34465149134628076
DRI,0.21632117454573682,0.35362257667008873,0.5234200154708424,147.4199981689453,20.94034,0.0349,1.2056,141.92,0.08186197219667228,0.34295553366595183
MNST,0.22892160248817947,0.30078377179470644,0.6572613984935037,101.80000305175781,33.486843,0.0,0.903831,100.58,0.0,0.3422686758716197
ITW,0.18388817992220102,0.22971583789273306,0.6645607953215947,246.72999572753906,26.702381,0.0252,1.097273,198.94,0.09997580482688043,0.3420735178038591
DE,0.20649900737635574,0.28320814867964955,0.618876851528638,406.05999755859375,22.140676,0.0115,1.058216,397.14,0.03837229473703898,0.3418796218526249
ROL,0.19739008767964983,0.2386908266695108,0.6961392274847517,35.68000030517578,52.47059,0.013099999,1.0,38.5,0.05488270824139438,0.34173454840140555
BBWI,0.17947769657804946,0.4860708944435694,0.30499595486686926,46.849998474121094,11.289156,0.0239,1.727339,0.0,0.028465623813347843,0.34118805550704967
HWM,0.2165130401206651,0.43868480279013206,0.4223647569917441,39.86000061035156,28.47143,0.0046,1.4042,41.54,0.007467517919475247,0.34017405715739757
ROK,0.17674013748624803,0.28606959437475554,0.508659781931893,289.9599914550781,29.467478,0.0186,1.432203,241.52,0.045397994190276535,0.3401094685694672
AZO,0.21940269671778026,0.25089776123111424,0.7500053240818021,2398.510009765625,27.581762,0.0,0.731392,2395.79,0.0,0.3400927815378809
